Title of Work,Title of Work (AI check),Author Full Name,Author Full Name (AI Check),"Authorship Type (single, co-author, etc.)",Birth-Death Years of Author(s)/Creator(s),Canonical/Scholarly Translation (Best Overall),Best Public Domain Translation,Complementary/Poetic/Alternative Translation,Top 3 Scholarly Translations (Consolidated),Editor(s)/Compiler(s),Edition Integrity,Peer Review/Canonical Status,Year of Original Publication (canonical),Year of Original Publication (AI check),Language of Origin (AI suggestion),Language of Origin (Linked),Language of This Edition/Publication,Summary Abstract,Cultural Origin (Civilizational root),Tradition / Lineage (Canon-level streams),Geographic Context (Place of composition/use),Historical Era,Publisher/Imprint,Place of Publication,Medium of Expression,Form/Genre,Primary Domain,Primary Subdomain(s),Subdomain Confidence,Other Primary Domains,Other Subdomains,Scale/Level Focus,ITQ Emphasis (where the work speaks from),ITQ Deficit Treated (what the work helps strengthen),ITQ Practice (what it invites the reader to do),SD Digestible For (best audience fit now),SD Bridge Move,SD Contraindication (allergic reaction),Kegan Order Best-Fit,Kegan Likely Move,SDT Needs Targeted,SDT Guidance Style,Author Positionality (Self-description/stance),Diaspora / Transcultural Status,Epistemic Mode(s)/Ways of Knowing,Evidence Base,Rigor/Evidence Strength,Ontological Stance,Cosmology,Ethical Orientation,Political-Economy Lens,Themes/Concepts,Key Words,Core Challenges Addressed,Key Questions,Proposed Orientations,Archetypes/Motfis,Metaphors/Imagery,Predecessors/Sources,Successors/Influenced Works,Dialogues/Contradictions,Opposing Work(s),Sibling/Parallel Works,Related Movements/Schools,Practice Modalities,Application Domains,Coaching & Therapeutic Use Cases,Cautions/Contraindications,More-than-Human Orientation,Intended Audience,Difficulty/Density,Tone/Style,Cultural Accessibility Notes,Length,Illustrations/Diagrams,Models/Frameworks,Media Type,File Type,Primary Links,Availability,Identifiers,Rights/License,Copyright Holder,Copyright Expiration,Jurisdiction,Source Provenance,Source Link (AI),Node ID,Embedding Vector ID(s),Entities Extracted,Coverage Map,Granularity Prepared,Auto-Tag Confidence,Curator(s),Curation Date,Validation Status,Evidence Claims/Audit,Key Quotations,Languages copy,Row #,Editions
Contemporary Egyptian Psychology,al-Shakhṣīyah al-Miṣrīyah: al-malāmiḥ wa-al-abʻād: dirāsah sīkūlūjīyah (الشخصية المصرية ، الملامح والأبعاد ، دراسة سيكولوجية),Abdul Latif Mohammed Khalifa,,Single Author,Unknown,"I don’t know which work you’re referring to; the request doesn’t specify a text, so I can’t identify a single translation.",,,,None,,,0,2003,UNKNOWN,UNKNOWN,,"I am unable to find reliable information confirming a work titled “Contemporary Egyptian Psychology” by Abdul Latif Mohammed Khalifa, so I cannot write a factual abstract. No authoritative bibliographic or publisher listings for this title are available online.",Modern Western,"""Scientific / Technological – Modern science, Positivism, Evolutionary theory, Systems theory, Cybernetics"",""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism""",Africa – North,,,Unknown,Article,Scientific Work ,"Consciousness, Mind & Psychology",Developmental & Social Psychology,0.76,"""Culture, Language & Anthropology"",""Health, Healing & Somatics""","Identity & Belonging,Cultural Anthropology & Ethnography","Intrapersonal/Individual,""Societal/Civilizational, Planetary/More-than-Human""","Interior-Collective (We),Exterior-Collective (Its)",,Behavior/Skills Training (It),"Orange,Blue",,None,Unknown,None,Competence,Directive/Structure (competence),Other / Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,All Rights Reserved,None,,Other,Other,https://www.anglo-egyptian.com/ar/book.php?id=22783,,,,,,,,,,,,Arabic/English,1,
Cities of Salt,Cities of Salt: A Novel (مدن الملح),Abdelrahman Munif,Abdelrahman Munif,Single Author,1933–2004,Peter Theroux; Cities of Salt; 1987,None — there is no public-domain English translation of Cities of Salt.,,,None,,,1984,1984,Arabic,Arabic,,"Set in an unnamed Gulf kingdom, the novel chronicles the upheaval caused by the discovery of oil and the arrival of American oil companies. An oasis community is uprooted as a coastal company town is built, pushing residents from tribal and pastoral life into wage labor under a new central authority. Through multiple viewpoints, it depicts displacement, labor unrest, and the consolidation of power in the emerging oil state; it is the first volume of Munif’s Cities of Salt quintet.","Abrahamic Worlds (Jewish, Christian, Islamic)","""Postmodern / Critical – Deconstruction, Feminism, Postcolonial, Decolonial, Critical Theory"",""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism""","Middle East – Gulf,Global / Transcultural",,,"Beirut, Lebanon",Book,Novel / Fiction,"Literature, Art & Aesthetics",Literature & Poetry,0.97,"""Society, Politics, Law & Economics"",""Culture, Language & Anthropology""","Political Philosophy & Governance,Linguistics & Discourse","Community/Bioregion,""Societal/Civilizational, Planetary/More-than-Human"",Team/Organization","Interior-Collective (We),Exterior-Collective (Its)","Exterior-Collective (Its),Interior-Collective (We)","Dialogue/Relational (We),Systems/Design/Policy (Its)","Green,Yellow",Orange➜Green,"May trigger Green’s allergy to hierarchy, patriarchy, and colonial exploitation; Orange’s allergy to anti-capitalist critique and union-led disruption; Blue’s allergy to the breakdown of sacred traditions and social order; Red’s allergy to imposed restraint by state-corporate power; Purple’s allergy to the uprooting of clan/tribal bonds.",4 (Self-Authoring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,2074,US,Publisher,https://www.penguinrandomhouse.com/books/118591/cities-of-salt-by-abdelrahman-munif/,,,,,,,,,,,,Arabic,2,
Al-Muqaddimah (The Introduction),The Muqaddimah: An Introduction to History (المقدمة),Abd al-Rahman Ibn Khaldun,Abd al-Rahman Ibn Khaldun,Single Author,1332–1406,"Franz Rosenthal, The Muqaddimah: An Introduction to History (Al-Muqaddimah, المقدمة), 1958",,,,None,,,1377,1377,Arabic,Arabic,,"Al-Muqaddimah is Ibn Khaldun’s methodological prologue to a universal history, setting out principles for critically evaluating historical reports and explaining social and political change. It advances a theory of ‘asabiyyah (group solidarity) to account for the cyclical rise, expansion, and decline of dynasties and states, and contrasts nomadic with sedentary life. The work also analyzes how economics, taxation, labor, education, geography, and climate shape societies and political authority.","Abrahamic Worlds (Jewish, Christian, Islamic)","""Abrahamic – Judaism, Christianity, Islam""","Africa – North,Middle East – Levant,Middle East – Anatolia,Global / Transcultural",,,"Cairo, Egypt.",Book,Philosophical Treatise ,"Society, Politics, Law & Economics","Political Philosophy & Governance,Economics & Political Economy",0.94,"Systems Thinking & Complexity,""Culture, Language & Anthropology""","System Dynamics,Cultural Anthropology & Ethnography","""Societal/Civilizational, Planetary/More-than-Human"",Community/Bioregion","Interior-Collective (We),Exterior-Collective (Its)","Exterior-Collective (Its),Interior-Collective (We)","Systems/Design/Policy (Its),Behavior/Skills Training (It)","Orange,Yellow",Blue➜Orange,May trigger Green’s allergy to hierarchy and climate/cultural determinism; Orange’s discomfort with privileging group ʿasabiyyah over individual agency and with non-linear progress; Blue’s unease at desacralizing history via material causes; Red’s pushback against restraints on personal power; and Purple’s worry over state centralization eroding kinship loyalties.,4 (Self-Authoring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,1476,International,Publisher,https://archive.org/details/muqaddimahintrod0000ibnk,,,,,,,,,,,,Arabic,3,
Sukayna bint al-Husayn,Between Sukaynah bint al-Ḥusayn (d. 117/735) and Fadwā Ṭūqān (d.1424/2003): Critical Elements in Feminine Poetical and Critical Tradition,?,Sukayna bint al-Husayn,Single Author,Unknown,,,,,None,,,0,0,Arabic,Arabic,,"Sukayna bint al-Husayn (Sakina; born 47–51 AH/c. 667–671 CE) was the daughter of Husayn ibn Ali and Rubab bint Imra al-Qais, a great-granddaughter of the Prophet Muhammad. As a child she witnessed the Battle of Karbala (680) and, with the surviving women and children, was taken captive and paraded and imprisoned in Damascus before being released. Sources record an early, likely unconsummated marriage to her cousin Abd-Allah ibn Hasan (killed at Karbala), with some later accounts adding marriages to Mus'ab ibn al-Zubayr and others; she is noted in early literature for eloquence, patronage of poets, and transmission of hadith. Most reports place her death in Medina on 5 Rabi' al-Awwal 117 AH (8 April 735), with her burial in al-Baqi.","Abrahamic Worlds (Jewish, Christian, Islamic)","""Abrahamic – Judaism, Christianity, Islam""","Middle East – Levant,Middle East – Mesopotamia,Middle East – Gulf",,,"Cairo, Egypt",Other,Biography / Autobiography,"Religion, Spirituality & Myth",World Religions & Theologies,0.96,"""Culture, Language & Anthropology"",""Literature, Art & Aesthetics""","Literature & Poetry,Collective Memory & Heritage","Intrapersonal/Individual,Interpersonal/Family,""Societal/Civilizational, Planetary/More-than-Human""","Exterior-Individual (It),Interior-Collective (We)","Interior-Collective (We),Exterior-Collective (Its)",Dialogue/Relational (We),"Blue,Orange",Stabilize Blue,"May trigger Green’s allergy to patriarchy/hierarchy (child betrothal, gendered captivity), Orange’s allergy to hagiographic ambiguity and conflicting reports, Blue’s allergy to ambiguity or sectarian challenge around sanctified figures and Karbala, and Red’s allergy to narratives of submission over honor/power.",3 (Socialized),None,"Relatedness,Competence",Directive/Structure (competence),"Scholar / External Observer,Secular Scholar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,None,Public Domain,Dar al-Hilal,805,US,Web Scan,https://en.wikipedia.org/wiki/Sakina_bint_Husayn,,,,,,,,,,,,,4,
Kitab al-Ibar (Book of Lessons),"The Book of Lessons, Record of Beginnings and Events in the History of the Arabs and the Berbers and Their Powerful Contemporaries (كتاب العبر وديوان المبتدأ والخبر في أيام العرب والعجم والبربر ومن عاصرهم من ذوي السلطان الأكبر)",Abd al-Rahman Ibn Khaldun,,Single Author,1332–1406,"Franz Rosenthal, The Muqaddimah: An Introduction to History (from Kitāb al-ʿIbar, كتاب العبر), 1958",,,,None,,,1377,1391,Arabic,Arabic,,"Composed in 1377, Ibn Khaldun’s Kitab al-‘Ibar is a seven-book universal history covering the origins and events of Arabs, non-Arabs, and Berbers, with detailed accounts of North African and Andalusian dynasties. Its introductory volume, the Muqaddimah, sets out a systematic methodology for historiography and a sociological theory of political organization centered on asabiyyah and the cyclical rise and fall of states. The work integrates geography, economics, and anthropology with critical source evaluation and firsthand observation to explain historical change up to the author’s time.","Abrahamic Worlds (Jewish, Christian, Islamic)","""Abrahamic – Judaism, Christianity, Islam""","Africa – North,Europe – Southern,Global / Transcultural",,,"Cairo, Egypt",Book,Scientific Work ,"Society, Politics, Law & Economics","Political Philosophy & Governance,Economics & Political Economy",0.95,"Systems Thinking & Complexity,""Culture, Language & Anthropology""","System Dynamics,Cultural Anthropology & Ethnography","""Societal/Civilizational, Planetary/More-than-Human"",Community/Bioregion","Interior-Collective (We),Exterior-Collective (Its)","Exterior-Collective (Its),Interior-Collective (We)","Dialogue/Relational (We),Systems/Design/Policy (Its)","Orange,Yellow",Blue➜Orange,May trigger Green’s allergy to hierarchy and ethnocentrism; Orange’s to collectivist ‘asabiyyah and cyclical determinism that downplays individual agency; Blue’s to relativizing sacred history through critical method and treating religion instrumentally; Red’s to constraints on personal dominance by group discipline; Purple’s to demystifying tribal myths/genealogies; Yellow’s to reductionism in explaining complexity chiefly via ‘asabiyyah.,4 (Self-Authoring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,,Other,,https://archive.org/details/01-17270,,,,,,,,,,,,Arabic,5,
New Algeria: Leadership and National Renewal,,Abdelmadjid Tebboune,Abdelmadjid Tebboune,Single Author,1945–,"I don’t know which Arabic work “New Algeria: Leadership and National Renewal” refers to, so I can’t identify a definitive English translation.","N/A, No public-domain English translation identified for “New Algeria: Leadership and National Renewal” (the phrase refers to a contemporary Algerian political program rather than a discrete Arabic text with a credited translator), N/A.",,,None,,,0,2020,English,English,,"This work outlines President Abdelmadjid Tebboune’s “New Algeria” agenda of leadership and national renewal in the wake of the 2019 Hirak uprising, setting priorities for rebuilding institutions and legitimacy. It emphasizes constitutional and institutional reforms, economic revival and diversification with anti-corruption measures, and greater inclusion of youth. It also articulates a more assertive foreign policy aimed at restoring Algeria’s regional role and international standing.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Scientific / Technological – Modern science, Positivism, Evolutionary theory, Systems theory, Cybernetics""",Africa – North,,,Unknown,Book,Essay / Manifesto,"Society, Politics, Law & Economics","Political Philosophy & Governance,Economics & Political Economy",0.91,"Leadership & Management Sciences,""Community Organizing, Civic Action & Democracy""","Leadership Development,Deliberation & Participation","""Societal/Civilizational, Planetary/More-than-Human"",Team/Organization","Exterior-Collective (Its),Interior-Collective (We)","Exterior-Collective (Its),Interior-Collective (We)","Systems/Design/Policy (Its),Dialogue/Relational (We)","Blue,Orange","Red➜Blue,Blue➜Orange",May trigger Green’s allergy to hierarchy/technocratic centralization and growth-first startupism; Red’s resistance to tighter rules and institutional constraints; Purple’s unease at tradition-disrupting modernization; Blue’s wariness of pluralist youth/civil-society empowerment diluting order; and Orange’s frustration if diversification remains state-driven and bureaucratic.,4 (Self-Authoring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,2095,Other,Other,,,,,,,,,,,,,Arabic,6,
Gathas  Zoroastrian texts,The Gathas (Gāθās),?,Zarathustra,Single Author,Unknown,,,,,None,,,-1000,-1100,Avestan,Avestan,,"The Gathas are 17 hymns in archaic Avestan that constitute the oldest core of the Avesta, traditionally attributed to the prophet Zoroaster and commonly dated to around 1000 BCE. Addressed to Ahura Mazda, they set out key Zoroastrian doctrines including asha (truth/order), the moral choice between good and evil, and eschatological judgment. The hymns are recited within the Yasna liturgy and serve as primary textual sources for Zoroastrian theology and practice.",Persian / Iranian,"""Persian / Zoroastrian – Zoroastrianism, Mazdean traditions""","""Central Asia – Kazakhstan, Uzbekistan, etc."",Middle East – Gulf,Middle East – Mesopotamia,""South Asia – India, Nepal, Sri Lanka, Pakistan, Bangladesh""",,,Unknown,Scripture,Sacred Scripture,"Religion, Spirituality & Myth","World Religions & Theologies,""Myth, Ritual & Symbol""",0.90,"Philosophy & Ethics,""Culture, Language & Anthropology""","Moral & Political Philosophy,Linguistics & Discourse","Intrapersonal/Individual,""Societal/Civilizational, Planetary/More-than-Human"",Cosmic/Temporal","Interior-Individual (I),Interior-Collective (We)","Interior-Individual (I),Interior-Collective (We)","Contemplative/Introspective (I),Dialogue/Relational (We)","Blue,Purple","Red➜Blue,Stabilize Blue","May trigger Green’s allergy to hierarchy and moral absolutism, Orange’s allergy to non-empirical revelation and ritual authority, and Red’s resistance to strict moral restraint.",3 (Socialized),3➜4,"Autonomy,Relatedness",Directive/Structure (competence),"Insider / Practitioner,Mystic / Visionary",Local / Rooted (tightly bound to one place),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,None,Public Domain,None,0,International,Publisher,https://sacred-texts.com/zor/sbe31/index.htm,,,,,,,,,,,,,7,
Catastrophic Folly: A History of the Vietnam War,I don't know,2020–1975 (excerpts),Derek Leebaert,Single Author,Unknown,,,,,"""None""",,,1998,1984,UNKNOWN,UNKNOWN,,"I cannot produce a factual abstract because no excerpts are provided and I cannot identify a verifiable work titled “Catastrophic Folly: A History of the Vietnam War, 2020–1975.” Without the text or a reliable source, any summary would be speculative.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism""","""Southeast Asia – Thailand, Vietnam, Indonesia, Philippines, Cambodia, Burma"",Americas - North",,,,Book,Scientific Work ,"Society, Politics, Law & Economics","Global & International Studies,Political Philosophy & Governance",0.90,"""Community Organizing, Civic Action & Democracy"",Philosophy & Ethics","Grassroots Organizing,Moral & Political Philosophy","""Societal/Civilizational, Planetary/More-than-Human"",Team/Organization,Community/Bioregion","Exterior-Collective (Its),Interior-Collective (We)","Exterior-Collective (Its),Interior-Collective (We)",Systems/Design/Policy (Its),"Orange,Green",Orange➜Green,"May trigger Green’s allergy to hierarchy and militarism, Blue’s allergy to moral relativism/anti-patriotism, and Orange’s allergy to ideological narratives over evidence-based pragmatism.",Unknown,None,Competence,Directive/Structure (competence),Other / Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,I don’t know.,All Rights Reserved,Unknown,2090,US,Publisher,https://www.hachettebookgroup.com/titles/geoffrey-wawro/the-vietnam-war/9781541606081/?lens=basic-books,,,,,,,,,,,,,8,
The Egyptian Book of the Dead,The Egyptian Book of the Dead: The Book of Going Forth by Day (prt m hrw),(Anonymous),Anonymous,Anonymous,Unknown,,,,,None,,,-1550,-1550,Egyptian (Ancient),Egyptian (Ancient),,"The Egyptian Book of the Dead—also called the Book of Coming Forth by Day—is a corpus of ancient Egyptian funerary texts compiled and used from the New Kingdom (c. 1550 BCE) into later periods. Consisting of spells, hymns, and instructions typically written on papyrus and placed in tombs, it guided and protected the deceased through the Duat and facilitated a favorable judgment before Osiris, including the Weighing of the Heart. Its content provides magical protections, passwords, and ritual knowledge to overcome perils, achieve rebirth, and join the gods.",Egyptian,"""Egyptian (Ancient) – Pharaonic, Hermopolitan, Theban traditions""",Africa – North,,,,Scripture,Sacred Scripture,"Religion, Spirituality & Myth","""Myth, Ritual & Symbol"",Indigenous & Earth-based Traditions",0.82,"""Time, Death & Transcendence"",""Culture, Language & Anthropology""","Transcendence & Afterlife,Cultural Anthropology & Ethnography","Intrapersonal/Individual,Cosmic/Temporal","Interior-Individual (I),Interior-Collective (We)","Interior-Individual (I),Interior-Collective (We)","Behavior/Skills Training (It),Dialogue/Relational (We)","Purple,Blue",Stabilize Blue,"May trigger Orange’s allergy to supernaturalism and prescriptive ritual; Green’s allergy to hierarchy, exclusionary judgment, and patriarchal cosmology; Red’s allergy to external moral restraint; Yellow’s allergy to ethnocentric literalism.",3 (Socialized),Stabilize 3,"Competence,Relatedness",Directive/Structure (competence),Insider / Practitioner,Local / Rooted (tightly bound to one place),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,None,Public Domain,None,,Other,Publisher,https://www.sacred-texts.com/egy/ebod/index.htm,,,,,,,,,,,,,9,
Appalachian Spring,Appalachian Spring: Ballet for Martha,Aaron Copland,Aaron Copland,Single Author,1900–1990,"N/A, N/A, N/A",,,,"""None""",,,1944,1944,English,English,,"Appalachian Spring is a ballet score composed by Aaron Copland in 1944 for choreographer Martha Graham, commissioned by the Elizabeth Sprague Coolidge Foundation at the Library of Congress. It premiered in Washington, D.C. on October 30, 1944 with a 13-player chamber ensemble; Copland later arranged an orchestral suite. The scenario depicts a 19th-century Pennsylvania pioneer community and incorporates the Shaker tune “Simple Gifts,” and the score won the 1945 Pulitzer Prize for Music.",Modern Western,"""Modern Western Secular – Enlightenment Rationalism, Liberalism, Humanism"",""Abrahamic – Judaism, Christianity, Islam""","Americas - North,Global / Transcultural",,,"New York, USA",Musical Composition,Other,"Literature, Art & Aesthetics","""Music, Sound & Performance""",,"""Culture, Language & Anthropology"",""Society, Politics, Law & Economics""","Collective Memory & Heritage,Media & Cultural Power","Community/Bioregion,""Societal/Civilizational, Planetary/More-than-Human""","Interior-Individual (I),Interior-Collective (We)","Interior-Individual (I),Interior-Collective (We)",Dialogue/Relational (We),"Blue,Orange","Stabilize Blue,Red➜Blue",May trigger Green’s allergy to romanticized settler narratives and religious hierarchy; Orange’s allergy to sentimental pastoralism and tonal simplicity over innovation; and Red’s allergy to communal restraint and piety.,3 (Socialized),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sorry, I'm at illustration/diagrams, ",,,,,,,,,,2060,US,Publisher,"https://imslp.org/wiki/Appalachian_Spring_(Copland,_Aaron)",,,,,,,,,,,,N/A (Musical),10,
